功效,组成,适应证,按语,方源,制作,药名,编号,分类
化痰止咳，生津，解毒。,余甘子10g，绿茶3g，冰糖12g。,咽喉疼痛。,余甘子别名油柑子、青果等，味甘、酸、涩，性凉，近年研究表明余甘子具有抗炎、抗氧化、抗衰老、保肝等作用。中医认为其能清热凉血、消食健胃、生津止咳，多用于血热血瘀、消化不良、腹胀、咳嗽、喉痛、口干等。余甘子为一种常用藏药，与诃子、毛诃子三者在藏药中常被称为“三大果”，使用频率很高。用量3~9g，多入丸散服。泡茶能化痰止咳，生津，解毒。注意:脾胃虚寒者慎用。,经验方。,用开水冲泡后饮用。,余甘子茶,1199,五官科-咽喉科疾病
清热生津止渴。,余甘子10g，藏青果3枚，冰糖12g。,急、慢性咽炎，扁桃体炎。,余甘子能清热凉血、消食健胃、生津止咳。藏青果别名西青果，味酸苦涩，性微寒，清热、利咽、生津，多用于慢性咽炎、慢性喉炎、慢性扁桃体炎。两药合用能清热生津止渴。注意:脾胃虚寒者慎用。,经验方。,用开水冲泡后饮用。,余甘子青果茶,1200,五官科-咽喉科疾病
生津止渴，爽口利咽。,余甘子10g，青果3枚，薄荷3g，冰糖10g。,咽炎，扁桃体炎。,本方即为上方（余甘子青果茶）加一味薄荷。薄荷辛凉，能疏散风热、清利头目、利咽透疹、疏肝解郁，用于风热感冒、头痛、咽喉肿痛、风疹、麻疹、肝郁气滞、目赤。与上方合用，能生津止渴，爽口利咽。注意:脾胃虚寒者慎用。,经验方。,用开水冲泡后饮用。,爽咽茶,1201,五官科-咽喉科疾病
清热生津，利咽。,玄参5g，余甘子5g，麦冬3g，冰糖10g。,咽喉疼痛。,玄参味苦、甘、咸，能凉血滋阴、泻火解毒，用于热病伤阴、舌绛烦渴、温毒发斑、津伤便秘、骨蒸劳咳、目赤、咽痛、瘰疬、白喉，痈肿疮毒。余甘子清热凉血、消食健胃、生津止咳，多用于血热血瘀、消化不良、腹胀、咳嗽、喉痛、口干等。麦冬味甘、微苦，性微寒，能润肺养阴、益胃生津、清心除烦。几味合用能清热生津，利咽。注意:感冒风寒或有痰饮湿浊的咳嗽，以及脾胃虚寒泄泻者均忌服。,经验方。,用开水冲泡后饮用。,利咽玄参茶,1202,五官科-咽喉科疾病
清热润肺，利咽，解毒。,胖大海2枚，绿茶3g，冰糖12g。,咽炎，扁桃体炎。,胖大海别名大海、大海子，味甘，性寒，有小毒。现代研究表明其有缓和的泻下作用、降压作用和一定的利尿、镇痛作用。中医认为它能清肺化痰、利咽开音、润肠通便，可以用于风热犯肺所致的急性咽炎、扁桃体炎，肺热声哑，干咳无痰，咽喉干痛。还可用于热结便闭，头痛目赤。1~2枚，沸水泡服或煎服。注意：脾胃虚寒，风寒感冒引起的咳嗽、咽喉肿痛，及肺阴虚导致的咳嗽均不宜使用。,经验方。,用开水冲泡后饮用。,胖大海茶,1203,五官科-咽喉科疾病
生津润肺，利咽。,胖大海2枚，银耳2g，麦冬2g，薄荷2g，冰糖12g。,急、慢性咽炎，声哑。,胖大海，能清肺化痰、利咽开音、润肠通便。银耳性平，味甘、淡，有“菌中之冠”的美称，既是名贵的营养滋补佳品，又是扶正强壮的补药，具有润肺生津、滋阴养胃、益气安神、强心健脑等作用。麦冬味甘、微苦，性微寒，能润肺养阴、益胃生津、清心除烦。薄荷味辛，性凉，能疏散风热、清利头目、利咽透疹、疏肝解郁。诸药合用后生津润肺、利咽的功效甚好。但要注意，风寒感冒、脾胃虚寒泄泻者要慎用胖大海。,经验方。,用开水冲泡后饮用。,大海润喉茶,1204,五官科-咽喉科疾病
清利口咽。,胖大海2枚，薄荷3g，冰糖10g。,咽喉疼痛。,胖大海清肺化痰、利咽开音、润肠通便。薄荷能疏散风热、清利头目、利咽透疹、疏肝解郁，用于风热感冒、头痛、咽喉肿痛、风疹、麻疹、肝郁气滞、目赤。合用后清利口咽。但要注意，风寒感冒、脾胃虚寒泄泻者要慎用胖大海。,经验方。,用开水冲泡后饮用。,大海薄荷茶,1205,五官科-咽喉科疾病
清热生津，利咽喉。,胖大海2枚，玉竹3g，冰糖10g。,声哑，咽干。,胖大海可以用于风热犯肺所致的急性咽炎、扁桃体炎，肺热声哑，干咳无痰，咽喉干痛；还可用于热结便闭，头痛目赤。玉竹性微寒，味甘，养阴润燥、生津止渴，用于肺胃阴伤，燥热咳嗽，舌干口渴等。合用能清热生津，利咽喉。但要注意，风寒感冒、脾胃虚寒泄泻者要慎用胖大海。,经验方。,用开水冲泡后饮用。,大海利咽茶,1206,五官科-咽喉科疾病
生津止渴，利咽。,胖大海2枚，沙参2g，玉竹2g，石斛2g，冰糖12g。,咽喉干痛。,胖大海味甘，性寒，能清肺化痰、利咽开音、润肠通便。沙参性微寒，味甘、微苦，清肺养阴、益胃生津，用于肺热阴虚引起的燥咳或劳嗽咯血，热病伤津，舌干口渴，食欲不振。玉竹养阴润燥、生津止渴。石斛味甘、微寒，益胃生津、养阴清热，用于热病伤津或胃阴不足，舌干口渴，及阴虚津亏，虚热不退。合用能生津止渴，利咽。注意:风寒感冒、脾胃虚寒泄泻者要慎用胖大海。,经验方。,用开水冲泡后饮用。,大海沙参茶,1207,五官科-咽喉科疾病
利咽，润肺。,余甘子10g，胖大海2枚，冰糖10g。,急性咽炎，扁桃体炎。,余甘子味甘、酸、涩，性凉，能清热凉血、消食健胃、生津止咳，多用于血热血瘀、消化不良、腹胀、咳嗽、喉痛、口干等。胖大海清肺化痰、利咽开音、润肠通便。合用能利咽，润肺。注意：风寒感冒、脾胃虚寒泄泻者要慎用胖大海。,经验方。,用开水冲泡后饮用。,海甘爽茶,1208,五官科-咽喉科疾病
利咽，清肺。,橄榄3枚，胖大海2枚，冰糖10g。,急性咽炎。,橄榄又名青果，味涩、酸、甘，性平，具有清热解毒、利咽化痰、生津止渴、开胃降气、除烦醒酒之功效，适用于治疗咽喉肿痛、咳嗽吐血、菌痢、癫痫、暑热烦渴、肠炎腹泻等病证。胖大海，味甘，性寒，可以用于风热犯肺所致的急性咽炎、扁桃体炎，肺热声哑，干咳无痰，咽喉干痛；还可用于热结便闭，头痛目赤。合用能利咽，清肺。注意:风寒感冒、脾胃虚寒泄泻者要慎用胖大海。,经验方。,用开水冲泡后饮用。,橄榄大海茶,1209,五官科-咽喉科疾病
利咽爽口，清热生津。,余甘子10g，藏青果3枚，胖大海2枚，枸杞3g，冰糖10g。,急、慢性咽炎。,余甘子能清热凉血、消食健胃、生津止咳。藏青果别名西青果，味酸苦涩，性微寒，清热、利咽、生津，多用于慢性咽炎、慢性喉炎、慢性扁桃体炎。胖大海能清肺化痰、利咽开音、润肠通便。枸杞味甘，性平，滋补肝肾、益精明目，用于肾虚腰膝酸软、神经衰弱、眩晕、耳鸣、视力减退、糖尿病等。合用后利咽爽口，清热生津作用甚好。但要注意，风寒感冒、脾胃虚寒泄泻者要慎用胖大海。,经验方。,用开水冲泡后饮用。,利口茶,1210,五官科-咽喉科疾病
生津利咽。,罗汉果12g，胖大海2枚，冰糖12g。,急性咽炎、扁桃体炎。,罗汉果性凉，味甘，有清肺利咽、化痰止咳、润肠通便的作用，主治痰火咳嗽、咽喉肿痛、伤暑口渴、肠燥便秘等。胖大海可以用于风热犯肺所致的急性咽炎、扁桃体炎，肺热声哑，干咳无痰，咽喉干痛；还可用于热结便闭，头痛目赤。合用能生津利咽。但要注意，风寒感冒、脾胃虚寒泄泻者要慎用胖大海。,经验方。,用开水冲泡后饮用。,罗汉爽音茶,1211,五官科-咽喉科疾病
润肺止咳，生津止渴。,罗汉果10g，余甘子10g，绿茶2g，冰糖10g。,急性咽炎所致咽部肿痛、干涩。,罗汉果有清肺利咽、化痰止咳、润肠通便的作用。余甘子味甘、酸、涩，性凉，多用于血热血瘀、消化不良、腹胀、咳嗽、喉痛、口干等。合用能润肺止咳，生津止渴。注意:脾胃虚寒泄泻者要慎用。,经验方。,用开水冲泡后饮用。,罗汉利声茶,1212,五官科-咽喉科疾病
生津养阴，利咽。,余甘子10g，玉竹5g，石斛5g，麦冬5g，天花粉5g，冰糖10g。,咽干，咽痛，口渴。,余甘子能清热凉血、消食健胃、生津止咳。玉竹性微寒，味甘，养阴润燥、生津止渴，用于肺胃阴伤，燥热咳嗽，舌干口渴等。石斛味甘，性微寒，益胃生津、养阴清热，用于热病伤津或胃阴不足，舌干口渴，及阴虚津亏，虚热不退。麦冬味甘、微苦，性微寒，能润肺养阴、益胃生津、清心除烦。天花粉味苦、微甘，性寒，清热生津、消肿排脓，用于热病烦渴、肺热燥咳、内热消渴、疮疡肿毒等。合用能生津养阴，利咽。注意:脾胃虚寒泄泻者要慎用。,经验方。,用开水冲泡后饮用。,玉斛润咽茶,1213,五官科-咽喉科疾病
滋咽爽喉。,罗汉果2g，薄荷2g，麦门冬2g，枸杞2g，冰糖适量。,咽痛，咽干。,罗汉果性凉，味甘，有清肺利咽、化痰止咳、润肠通便的作用。薄荷味辛，性凉，能疏散风热、清利头目、利咽透疹、疏肝解郁，用于风热感冒、头痛、咽喉肿痛、风疹、麻疹、肝郁气滞、目赤。麦冬能润肺养阴、益胃生津、清心除烦。枸杞味甘，性平，滋补肝肾、益精明目，用于肾虚腰膝酸软、神经衰弱、眩晕、耳鸣、视力减退、糖尿病等。合用能滋咽爽喉。注意:脾胃虚寒泄泻者要慎用。,经验方。,用开水冲泡后饮用。,观音爽茶,1214,五官科-咽喉科疾病
利咽，爽口。,余甘子5g，胖大海2枚，罗汉果5g，银耳2g，薄荷5g，冰糖20g。,咽喉肿痛。,余甘子清热凉血、消食健胃、生津止咳，多用于血热血瘀、消化不良、腹胀、咳嗽、喉痛、口干等。胖大海清肺化痰、利咽开音、润肠通便，可以用于急性咽炎、扁桃体炎之咽喉肿痛。罗汉果清肺利咽、化痰止咳、润肠通便，主治痰火咳嗽、咽喉肿痛、伤暑口渴、肠燥便秘等。银耳性平，味甘、淡，既是名贵的营养滋补佳品，又是扶正强壮的补药，具有润肺生津、滋阴养胃、益气安神、强心健脑等作用。薄荷能疏散风热、清利头目、利咽透疹、疏肝解郁。合用后能利咽，爽口，开心。但要注意，胖大海有一定毒性，不适合长期服用；另外风寒感冒、脾胃虚寒泄泻者也要慎用。,经验方。,用开水冲泡后饮用。,千珍万爽茶,1215,五官科-咽喉科疾病
疏肝理气，解郁化痰。,橘络、厚朴、红茶各3g，党参6g。,气滞痰湿型梅核气。,橘络活络化痰，厚朴宽中行气，党参益气健脾绝生痰之源，三药配伍，有疏肝理气、解郁化痰的功效。本方化痰健脾，胃阴虚之人不宜服用。,经验方。,共制粗末，沸水冲泡代茶频饮。,橘朴茶,1216,五官科-咽喉科疾病
疏肝，和胃，化痰。,绿萼梅5g。,梅核气，肝胃气痛，郁闷不舒，食纳减少。,《百草镜》称，绿萼梅能“开胃解郁”。解郁即疏肝之意，肝气条达，胃气和降，则郁积之气自平。其有疏肝、和胃、化痰的功效。对梅核气有良好效果，对肝胃气痛、郁闷不舒、食纳减少亦有效。一般人群均可服用。,经验方。,加适量冰糖，沸水冲泡代茶饮。,绿萼梅茶,1217,五官科-咽喉科疾病
益气，聪耳。,参须3g，京菖3g，茶叶3g。,体虚听力减弱，耳鸣等。,人参须，益气、生津、止渴。石菖蒲，开窍豁痰、理气活血、散风去湿。可治健忘，气闭耳聋，心胸烦闷，胃痛，腹痛，风寒湿痹，痈疽肿毒，跌打损伤等。加入茶叶，三药合用，能益气聪耳，治疗耳鸣、耳聋。代茶饮，每日1剂，以味淡为度。阴虚阳亢、烦躁汗多、咳嗽、吐血、滑精者慎服。,经验方。,上三味沸水冲泡代茶饮。,参须京菖茶,1168,五官科-耳科疾病
聪耳明目。,槐花、菊花、绿茶各3g。,慢性中耳炎，听力减弱。,《本草求原》称，槐花是“凉血的要药”，与菊花、茶叶同饮，能聪耳明目。,经验方。,沸水冲泡，代茶频饮。,槐菊茶,1169,五官科-耳科疾病
清热解毒，活血止痛。,茶叶、京菖蒲各3g，粉丹皮、川芎各5g。,中耳炎。,菖蒲性温，味辛、苦，能辟秽开窍、宣气逐痰、解毒、杀虫，可治疗痈疽、疥癣。粉丹皮性寒，味苦、凉，能清热凉血、活血散瘀，对热病炎症有很好疗效。现代研究发现，粉丹皮有很好的抗炎、抗菌、抗凝作用。川芎味辛，性温，有活血行气、祛风止痛的功效。此方对治疗中耳炎的效果甚好。患者可随意饮用此茶。脾胃虚寒者不宜饮用。,经验方。,上药沸水冲泡即可。,菖芎茶,1170,五官科-耳科疾病
清热解毒，开窍通络。,青茶叶、细辛、荷叶各25g，蝉蜕3g，麝香0.3g，葱头适量。,中耳炎。,细辛味辛，性温，具有祛风、散寒、行水、开窍的功效。现代药理研究发现细辛还有抗炎、抗菌、解热镇痛的作用。荷叶味苦、涩，性平，有清暑利湿、止血的作用。蝉蜕味甘，性寒，有很好的祛风除热的功效。麝香味辛，性温，有活血的功效，且开窍作用极强。此方能消炎抑菌、开窍通络，治疗中耳炎的效果很好。将绢裹好的药纳于耳内即可。,经验方。,共研细末，用葱头捣泥，和匀，做小捻，绢裹。,耳炎蝉蜕茶,1171,五官科-耳科疾病
清热化湿，排脓解毒，通耳窍。,黄柏9g，苍耳子10g，绿茶3g。,中耳炎。,黄柏，味苦，性寒，能清热燥湿、泻火解毒，可治疗疮疡肿毒。现代药理研究发现黄柏有抗菌、抗炎、抗溃疡的作用，能治疗化脓性中耳炎。苍耳子味辛、苦，性温，具有散风除湿、通窍止痛的功能。患者饮用此茶每日1剂，分2次饮服。脾胃虚寒，便溏者不宜饮服。,经验方。,上三味共研粗末，沸水冲泡10分钟，或煎汤即可。,黄柏苍耳茶,1172,五官科-耳科疾病
平肝潜阳，祛风通络。,绿茶lg，天麻3~5g。,耳鸣眩晕。,天麻味甘性平，能息风止痉、平肝潜阳、祛风通络，可用于头痛眩晕、肢体麻木等。患者见津液衰少、血虚、阴虚等证，均需慎用天麻。,经验方。,将天麻切成薄片干燥储存，备用。服用时，每次取天麻片与茶叶收入杯中，用刚沸的开水冲泡大半杯，立即加盖，5分钟后可热饮。头汁饮空，略留余汁，再泡再饮，直至冲淡，弃渣。,天麻耳鸣茶,1173,五官科-耳科疾病
益气生津，辟秽开窍。,茶叶3g，参须3g，京菖蒲3g。,耳鸣。,参须为五加科植物人参的细支根及须根，味甘、苦，性平，能益气、生津、止渴。菖蒲能辟秽开窍、宣气逐痰、解毒、杀虫，可治疗痈疽、疥癣。此方能治因痰湿引起的耳鸣。每日饮用1剂。,经验方。,沸水冲泡。,参须茶,1174,五官科-耳科疾病
清肝火，解郁。,龙胆草、醋柴胡、川芎各1.8g，甘菊花3g，生地3g。,中耳炎属肝胆热盛，耳窍不畅。,肝主疏泄，其性升发，喜条达恶抑郁，而现代人肝火偏旺，经常导致急躁易怒、口苦口干、头晕耳鸣、失眠多梦、胁部疼痛等症状。这时候如果可以为自己泡杯“平肝清热茶”，不但能够平肝火、清肝热，呵护和我们的健康关系最为密切的肝脏，还能让人的精气神都保持一个平衡的状态。龙胆草、醋柴胡，能疏肝气、泻肝火。诸药合用，能清肝胆之热。每日1剂，煎水代茶饮。体寒无肝火者不宜饮用。,《慈禧光绪医方选议》。,将上药捣成粗末。水煎数沸，代茶徐徐饮之。,平肝清热茶,1175,五官科-耳科疾病
活血止血，消瘀止痛，止血疗伤。,白茅花10g。,鼻衄、尿血等出血病证。,白茅花，治吐血、衄血、刀伤。《唐本草》对此早有记载，称其“主衄血、吐血，炎疮”。非出血病证不宜久服。,《日华子本草》。,4—5月花盛开前采收。摘下带茎的花穗，晒干。煎水代茶饮。,白茅花茶,1176,五官科-鼻科疾病
宣通鼻窍，祛风止痛。,苍耳子2g，辛夷、白芷各6g，薄荷叶5g，葱、茶叶2g。,外感风寒或风热，邪毒留滞于鼻窍而致的交替性鼻塞、鼻涕增多，或清稀或黄稠，言语带鼻音，可伴有寒热、头痛等。属中医“鼻窒”“鼻渊”，相当于现代医学之单纯性鼻炎、副鼻窦炎、过敏性鼻炎等病。,《医方集解》引陈无择方“苍耳散”（白芷30g，薄荷、辛夷各15g，苍耳子8g，为末。食前葱、茶汤调下6g）。苍耳子味辛、苦，性温，归肺经；辛夷味辛，性温，归肺、胃经；白芷味辛，性温，归肺、胃经。三味均有祛风散寒、宣通鼻窍之功，是治疗鼻窒、鼻渊的良药，临床上常三药配伍使用。《要药分剂》说苍耳子“治鼻渊、鼻癔，断不可缺，能使清阳之气上行巅顶也”。《本草纲目》说“辛夷之辛温，走气而入肺……治头面目鼻之病”，疗“鼻渊、鼻鼽、鼻窒、鼻疮及痘后鼻疮”；说白芷“治鼻渊、齿痛、眉棱骨痛”。可见三味是治鼻病的要药。加葱白，“通阳气，发散风邪”（《用药心法》）。加薄荷，清头目、散风热。茶叶苦寒为佐使，既可上清头目，又可制约风药的过于温燥与升散，使全方升中有降。综观全方以发散风寒、宣通鼻窍为主，故鼻病属风寒外袭者最宜。如属风热、肺热，鼻流黄浊涕而味臭者，可加黄菊花、金银花、连翘、黄芩、生石膏等品，疗效亦佳。实验研究表明，苍耳子、辛夷、白芷，尤其茶叶，对鼻部炎症的致病菌有较强的抑制作用，并能促进炎症性渗出液的吸收。每日1剂，沸水冲泡代茶饮。本方之性偏温燥，且苍耳子有小毒，故血虚气弱者忌用，用时不宜过量。,《医方集解》。,上药共研为末，以沸水冲泡10分钟后，不拘时频频温服。,苍耳子茶Ⅰ,1177,五官科-鼻科疾病
清热解毒。,橄榄5~6枚，适量冰糖。,慢性喉炎。,《滇南本草》载，橄榄，其味甘、涩、酸，可“治一切喉火上炎，大头瘟症”。《本草纲目》则言:“主治咽喉痛。咀嚼咽汁，能解一切鱼鳖毒。”本品有清热解毒的功效。阴寒内盛者慎用。,经验方。,橄榄5~6枚，加适量冰糖，沸水冲泡，代茶频饮。,橄榄茶,1228,五官科-咽喉科疾病
清热解毒，利咽消肿。,蒲公英、银花各400g，薄荷200g，甘草100g，胖大海50g，淀粉30g。,急、慢性咽炎，喉炎，扁桃体炎。,据《本草纲目》记载，蒲公英性平味甘微苦，有清热解毒、消肿散结及催乳作用，对治疗乳腺炎十分有效。无论煎汁口服，还是捣泥外敷，皆有效验。此外，蒲公英还有利尿、缓泻、退黄疸、利胆等功效，被广泛应用于临床。银花具有清热解毒的功效，胖大海具有清热利咽的功效。全方共奏清热解毒、利咽消肿之效。,经验方。,先取薄荷、甘草、胖大海及蒲公英共200g，银花200g，制成细粉；再将剩下的蒲公英、银花用水煎滤液，浓缩至糖浆状，加入淀粉成糊状，然后再与上述细粉拌和制成块形，过20目筛后烘干。每次用10g，沸水冲泡10分钟，代茶频饮。,消炎茶,1229,五官科-咽喉科疾病
养阴，清热，利咽。,石斛、玄参各9g，生甘草3g，银花3g。,慢性咽炎，咽喉干燥。,该茶是我国传统的治疗慢性咽炎，咽喉干燥的茶方。玄参，《本草纲目》谓其:“滋阴降火，解斑毒，利咽喉，通小便血滞。”石斛有养阴的功效。银花具清热解毒作用。甘草利咽。此四味合用，共奏养阴、清热、利咽的功效。,经验方。,上药煎水代茶频饮。,清咽四味茶,1230,五官科-咽喉科疾病
清热生津，润肺祛痰。,绿茶5g，白梨200~300g。,咽干口燥。,《本草经疏》:“梨，能润肺消痰，降火除热，故苏恭主热嗽止渴，贴汤火伤；大明主贼风心烦，气喘热狂。”梨既是水果也是一种药物，有清热生津、润肺祛痰的作用，对咽干口燥者有较好的疗效，秋季较宜食用。日服1~2剂。脾虚寒泻或肺寒咳嗽者慎用。,经验方。,将梨连皮切片，煎汤泡茶饮。,绿茶白梨汤,1231,五官科-咽喉科疾病
润肺生津，止咳解渴。,绿茶0.5~1g，罗汉果15~25g。,肺火燥咳，咽痛失音，肠燥便秘等。,罗汉果味甘，性凉，归肺、脾经，体轻润降，具有清肺利咽、化痰止咳、润肠通便功效，主治痰火咳嗽、咽喉肿痛、伤暑口渴、肠燥便秘。临床上多与桔梗、甘草同用治疗肺失宣降的咳嗽。本茶日服1剂。无肺热者慎用。,经验方。,将罗汉果煎汤泡茶饮服。,绿茶罗汉果汤,1232,五官科-咽喉科疾病
清热利咽。,上等绿茶适量。,咽喉炎症。,绿茶有很好的清热作用，对咽喉炎症有很好的疗效。,经验方。,沸水冲泡。,开音绿茶,1233,五官科-咽喉科疾病
清热，生津，止渴，解郁，疏肝，止泻，解毒。,梅花1.5g，青果3枚，山楂3g，绿茶3g，冰糖10g。,咽喉肿痛，腹胀痞满等。,梅花含挥发油、苯甲醛、异丁香油酚、苯甲酸等，功能开胃散郁、生津化痰、活血解毒。梅花象征坚韧不拔、百折不挠、奋勇当先、自强不息的精神品质，上至显达，下至布衣，几千年来对梅花多所钟爱。颂梅的诗词不计其数，比如王安石的“墙角数枝梅，凌寒独自开。遥知不是雪，为有暗香来”便为大家所熟知。青果性平，味甘、酸，能清热利咽、生津解毒。用于咽喉肿痛、咳嗽、烦渴、鱼蟹中毒等。山楂味酸、甘，性微温，能开胃消食、化滞消积、活血散瘀、化痰行气，用于肉食滞积、癥瘕积聚、腹胀痞满、瘀阻腹痛、痰饮、泄泻、肠风下血等。诸药合用能清热，生津，止渴，解郁，疏肝，止泻，解毒。注意：阴虚有火者勿服。,经验方。,用开水泡饮或用前几味药的水煎液泡茶。,梅花青山茶,1234,五官科-咽喉科疾病
疏肝理气，养心安神。,绿萼梅、绿茶、合欢花各3g，枸杞子5g。,肝气郁结型梅核气。,合欢花，《本草便读》载:“能养血。”《分类草药性》:“能清心明目。”合欢花在我国是吉祥之花，人们认为“合欢蠲忿”，自古以来就有在宅第园池旁栽种合欢树的习俗，寓意夫妻和睦，家人团结，对邻居心平气和，友好相处。清人李渔说:“萱草解忧，合欢蠲忿，皆益人情性之物，无地不宜种之……凡见此花者，无不解愠成欢，破涕为笑，是萱草可以不树，而合欢则不可不栽。”1剂冲泡1~2次即可，应及时更换新茶。李颀有《题合欢》之诗:“开花复卷叶，艳眼又惊心。蝶绕西枝露，风披东干阴。黄衫漂细蕊，时拂女郎砧。”阴虚津伤者慎用。,民间茶疗方。,合欢花，6月花初开时采集，除去枝叶，晒干。上诸药沸水冲泡，代茶频饮。,二绿合欢茶,1235,五官科-咽喉科疾病
清肺利咽，泻火化痰。,鲜青果20枚，鲜芦根4支。,肺胃热盛，咽喉不适，咳嗽痰黄，口干咽燥等。,《慈禧光绪医方选议》载：“鲜青果功能清肺利咽，去火化痰，用治肺胃热盛所致的咽喉肿痛、痰涎壅盛等症，西太后常用。芦根既能清肺热祛痰排脓，又能清胃热而生津止呕，二药合用，清解肺胃之热功专力大。”从方测证，其时慈禧太后可能患有咽喉不适、咳嗽痰黄、口干咽燥的病证，太医们不敢用苦药，而制此方，既能起到清热化痰的作用，又可达利咽生津之效。,《慈禧光绪医方选议》。,鲜青果去核，鲜芦根洗净，切碎，加水煎煮。,清热代茶饮,1236,五官科-咽喉科疾病
滋阴清热，解毒通便。,,急、慢性咽炎，扁桃体炎。,玄参，滋阴、降火、除烦、解毒。治热病伤阴，舌绛烦渴，发斑，骨蒸劳热，夜寐不宁，自汗盗汗，津伤便秘，吐血衄血，咽喉肿痛，痈肿，瘰疬，温毒发斑，目赤，白喉，疮毒。《神农本草经》谓其:“主腹中寒热积聚，女子产乳余疾，补肾气，令人明目。”麦冬，养阴生津、润肺清心，用于肺燥干咳、虚劳咳嗽、津伤口渴、心烦失眠、内热消渴、肠燥便秘、咽白喉。桔梗开宣肺气、祛痰排脓，治外感咳嗽、咽喉肿痛、肺痈吐脓、胸满胁痛、痢疾腹痛。《药性论》谓其:“治下痢，破血，去积气，消积聚，痰涎，主肺热气促嗽逆，除腹中冷痛，主中恶及小儿惊痫。”玄参、麦冬、桔梗、甘草，四药合用共奏滋阴清热解毒之功，煎水代茶频饮。脾胃有湿及脾虚便溏者忌服。,《千家妙方》。,将以上药物放入茶杯内，加开水适量浸泡10分钟左右，不拘时频饮。,玄麦桔甘茶,1237,五官科-咽喉科疾病
疏肝活血，养阴利咽。,月季花、玫瑰花、绿茶各3g，桔梗、山萸肉各6g。,气郁血涩、咽喉郁阻型梅核气。,月季花味甘性温，入肝经，功能活血调经、解毒消肿。玫瑰花味甘微苦，性温，归肝、脾、胃经，香气浓烈，既能活血调经，又擅长疏肝行气。两药相配，疏肝解郁、活血化瘀。桔梗辛苦入肺，能宣通肺气、消痰利咽，为疗咽喉疾患之要药。绿茶苦寒，降火化痰、清喉利咽。两药相配，辛开苦降，通降气机，散咽喉痰热之结。山茱萸味酸涩性微温，入肝、肾两经。滋肾养肝、收敛固涩，为补肝阴之要药。诸药相配，气血同治，升降并用，散中有收，攻补兼施，轻清灵活。孕妇慎用。,《江西中医药》。,上药共制粗末，沸水冲泡，代茶频饮。月季花，夏秋采收半开放的花朵，晾干，或用微火烘干。玫瑰花，4—6月间，当花蕾将开放时分批采摘，用文火迅速烘干。烘时将花摊放成薄层，花冠向下，使其最先干燥，然后翻转烘干其余部分。晒干者，颜色和香气均较差。,二花桔萸茶,1238,五官科-咽喉科疾病
理气化痰，养阴清热。,女贞子6g，绿萼梅、绿茶、橘络各3g。,气郁化热、痰热互结型的梅核气。,绿萼梅味微酸而涩，性平气香，既能疏肝解郁，又能行气化痰，是治疗梅核气之良品。实验表明，它有调节神经、助胃消化之功。橘络味苦性平，亦能行气化痰，并有通络止痛作用。绿茶降火中化痰、利咽润燥。三药同用，对于气郁化火、痰热壅结而致的梅核气，切合有效。郁火最易耗伤肝肾阴血，故加药性和平、甘凉清补之女贞子，滋癸水而涵乙木，郁火自灭矣。故《本草经疏》称其为“入肾除热补精之要品”。《本草再新》则言其为“养阴益肾，补气舒肝”之良药。因本方性偏寒凉，脾胃虚寒者慎用。,《江西中医药》。,女贞子捣碎，与绿萼梅、绿茶、橘络合用，沸水冲泡代茶频饮。女贞子，冬季果实成熟时采摘，除去枝叶晒干，或将果实略熏后，晒干；或置热水中烫过后晒干。绿萼梅，1—2月间采集含苞待放的花蕾，摊置席上，晒干。雨天可用炭火烘干。,二绿女贞茶,1239,五官科-咽喉科疾病
清热解毒，利咽消肿。,金银花15g，板蓝根20g，杭菊花10g，麦冬10g，桔梗15g，甘草3g，茶叶6g。,急、慢性咽喉炎而致的咽喉红肿疼痛、咳嗽痰多，或伴咽喉异物感，或声音嘶哑、喉间干涩等。,金银花，清热、解毒，治温病发热、热毒血痢、痈疡、肿毒、瘰疬、痔漏。《滇南本草》谓其:“清热，解诸疮，痈疽发背，丹毒瘰疬。”板蓝根，《分类草药性》谓其:“解诸毒恶疮，散毒去火，捣汁或服或涂。”金银花、菊花、板蓝根、茶叶均有良好的泻火解毒、清利咽喉之功，是治疗咽喉红肿热痛的常用之品。桔梗配甘草，《金匮要略》名曰“桔梗汤”，是宣肺利咽、止咳祛痰之良方。急性咽喉炎，风热火毒或肺经痰热是其主要病因，火热易伤肺胃津液。慢性咽喉炎，肺阴不足、虚火上炎是主要证型。故方中配麦冬，甘寒养阴、生津润燥。至于冰糖，《中国医学大辞典》谓其味甘性平，与白砂糖同功，能“和中补脾，缓肝润肺，生津消痰，止咳”。代茶饮，每日3次。体虚而无实火热毒者忌服。,《北京中医》。,金银花，5—6月间，在晴天清晨露水刚干时摘取花蕾，摊席上晾晒或阴干，并注意翻动，否则容易变黑。忌在烈日下曝晒。宜保存于干燥通风处，防止生虫、变色。板蓝根，初冬采挖，除去茎叶，洗净晒干。上药（冰糖除外）共研粗末。每次取25g，置热水瓶中，沸水冲泡，加盖闷10余分钟，加适量冰糖溶解后，频频饮服。,防疫清咽茶,1240,五官科-咽喉科疾病
